"
Name"			"
Dilution"	IFNy	TNFa			IL4	IL2
				pg/ml	pg/ml			pg/ml	pg/ml
controls_MLPS CD155 2 B_052.fcs			1	439.94	1263.52			496.00	1140.04
controls_MLPS CD155 3 A_073.fcs			1	1000.37	1884.59			2148.93	2070.63
controls_MLPS CD155 3 B1_077.fcs			1	1330.65	2622.70			1930.04	3443.33
controls_MLPS CD155 4 A_097.fcs			1	1330.65	2176.69			17.04	2522.30
controls_MLPS CD155 4 B_101.fcs			1	3382.55	4503.18			43.26	5612.57
controls_MLPS CD155 PDL1  3 A_075.fcs			1	1242.60	2972.99			1623.68	3964.92
controls_MLPS CD155 PDL1 1 A_028.fcs			1	2015.27	6356.44			51.39	8670.85
controls_MLPS CD155 PDL1 1 B_032.fcs			1	763.89	2913.84			58.48	3861.74
controls_MLPS CD155 PDL1 2 A_053.fcs			1	748.66	1668.19			632.71	1646.25
controls_MLPS CD155 PDL1 2 B_055.fcs			1	1539.60	2622.70			1068.18	3538.89
controls_MLPS CD155 PDL1 3 B_001_079.fcs			1	1663.37	3390.84			3871.85	4918.49
controls_MLPS CD155 PDL1 4 A_099.fcs			1	3228.86	3738.86			37.22	5226.17
controls_MLPS CD155 PDL1 4 B_103.fcs			1	6888.84	7769.80			172.91	10195.38
controls_MLPS PDL1  3 A_074.fcs			1	1030.54	2360.21			1863.35	2884.79
controls_MLPS PDL1  4 B_102.fcs			1	6020.19	8545.82			70.28	10398.86
controls_MLPS PDL1 1 A_027.fcs			1	942.50	5394.40			21.22	7641.22
controls_MLPS PDL1 1 B_031.fcs			1	439.94	1677.21			110.11	2121.76
controls_MLPS PDL1 2 A_050.fcs			1	763.89	1486.28			363.84	1491.16
controls_MLPS PDL1 2 B_054.fcs			1	1848.99	2884.74			697.62	3991.00
controls_MLPS PDL1 3 B_078.fcs			1	1712.16	3142.38			2228.77	4368.44
controls_MLPS PDL1 4 A_098.fcs			1	3289.52	3408.18			26.36	4176.84
